In State Full RCB
IMU Connected
Starting RCBRCB Angle Error: -88.768997
RCB Angle Error: -88.762001
RCB Angle Error: -88.741997
RCB Angle Error: -88.700996
RCB Angle Error: -88.630997
RCB Angle Error: -88.573997
RCB Angle Error: -88.500000
RCB Angle Error: -88.426003
RCB Angle Error: -88.359001
RCB Angle Error: -88.274002
RCB Angle Error: -88.178001
RCB Angle Error: -88.055000
RCB Angle Error: -87.926003
RCB Angle Error: -87.834999
RCB Angle Error: -87.760002
RCB Angle Error: -87.683998
RCB Angle Error: -87.570000
RCB Angle Error: -87.413002
RCB Angle Error: -87.255997
RCB Angle Error: -87.114998
RCB Angle Error: -87.002998
RCB Angle Error: -86.878998
RCB Angle Error: -86.772003
RCB Angle Error: -86.658997
RCB Angle Error: -86.551003
RCB Angle Error: -86.410004
RCB Angle Error: -86.233002
RCB Angle Error: -86.083000
RCB Angle Error: -85.950996
RCB Angle Error: -85.851997
RCB Angle Error: -85.753998
RCB Angle Error: -85.635002
RCB Angle Error: -85.495003
RCB Angle Error: -85.347000
RCB Angle Error: -85.230003
RCB Angle Error: -85.119003
RCB Angle Error: -85.033997
RCB Angle Error: -84.929001
RCB Angle Error: -84.808998
RCB Angle Error: -84.642998
RCB Angle Error: -84.495003
RCB Angle Error: -84.364998
RCB Angle Error: -84.252998
RCB Angle Error: -84.100998
RCB Angle Error: -83.947998
RCB Angle Error: -83.799004
RCB Angle Error: -83.679001
RCB Angle Error: -83.523003
RCB Angle Error: -83.376999
RCB Angle Error: -83.213997
RCB Angle Error: -83.103996
RCB Angle Error: -82.964996
RCB Angle Error: -82.852997
RCB Angle Error: -82.727997
RCB Angle Error: -82.593002
RCB Angle Error: -82.414001
RCB Angle Error: -82.275002
RCB Angle Error: -82.155998
RCB Angle Error: -82.064003
RCB Angle Error: -81.929001
RCB Angle Error: -81.777000
RCB Angle Error: -81.607002
RCB Angle Error: -81.454002
RCB Angle Error: -81.283997
RCB Angle Error: -81.148003
RCB Angle Error: -81.022003
RCB Angle Error: -80.907997
RCB Angle Error: -80.767998
RCB Angle Error: -80.629997
RCB Angle Error: -80.471001
RCB Angle Error: -80.333000
RCB Angle Error: -80.180000
RCB Angle Error: -80.063004
RCB Angle Error: -79.950996
RCB Angle Error: -79.837997
RCB Angle Error: -79.684998
RCB Angle Error: -79.524002
RCB Angle Error: -79.369003
RCB Angle Error: -79.262001
RCB Angle Error: -79.157997
RCB Angle Error: -79.058998
RCB Angle Error: -78.927002
RCB Angle Error: -78.778999
RCB Angle Error: -78.575996
RCB Angle Error: -78.410004
RCB Angle Error: -78.269997
RCB Angle Error: -78.160004
RCB Angle Error: -78.021004
RCB Angle Error: -77.890999
RCB Angle Error: -77.748001
RCB Angle Error: -77.611000
RCB Angle Error: -77.449997
RCB Angle Error: -77.310997
RCB Angle Error: -77.183998
RCB Angle Error: -77.074997
RCB Angle Error: -76.949997
RCB Angle Error: -76.831001
RCB Angle Error: -76.693001
RCB Angle Error: -76.551003
RCB Angle Error: -76.389999
RCB Angle Error: -76.277000
RCB Angle Error: -76.183998
RCB Angle Error: -76.093002
RCB Angle Error: -75.942001
RCB Angle Error: -75.777000
RCB Angle Error: -75.606003
RCB Angle Error: -75.434998
RCB Angle Error: -75.331001
RCB Angle Error: -75.195000
RCB Angle Error: -75.064003
RCB Angle Error: -74.927002
RCB Angle Error: -74.765999
RCB Angle Error: -74.639999
RCB Angle Error: -74.464996
RCB Angle Error: -74.320000
RCB Angle Error: -74.185997
RCB Angle Error: -74.078003
RCB Angle Error: -73.952003
RCB Angle Error: -73.813004
RCB Angle Error: -73.644997
RCB Angle Error: -73.456001
RCB Angle Error: -73.343002
RCB Angle Error: -73.227997
RCB Angle Error: -73.135002
RCB Angle Error: -73.010002
RCB Angle Error: -72.820000
RCB Angle Error: -72.665001
RCB Angle Error: -72.469002
RCB Angle Error: -72.324997
RCB Angle Error: -72.212997
RCB Angle Error: -72.080002
RCB Angle Error: -71.967003
RCB Angle Error: -71.795998
RCB Angle Error: -71.639000
RCB Angle Error: -71.483002
RCB Angle Error: -71.322998
RCB Angle Error: -71.220001
RCB Angle Error: -71.079002
RCB Angle Error: -70.945999
RCB Angle Error: -70.807999
RCB Angle Error: -70.648003
RCB Angle Error: -70.526001
RCB Angle Error: -70.366997
RCB Angle Error: -70.246002
RCB Angle Error: -70.133003
RCB Angle Error: -70.003998
RCB Angle Error: -69.893997
RCB Angle Error: -69.740997
RCB Angle Error: -69.553001
RCB Angle Error: -69.385002
RCB Angle Error: -69.210999
RCB Angle Error: -69.096001
RCB Angle Error: -68.963997
RCB Angle Error: -68.824997
RCB Angle Error: -68.693001
RCB Angle Error: -68.529999
RCB Angle Error: -68.404999
RCB Angle Error: -68.242996
RCB Angle Error: -68.084000
RCB Angle Error: -67.960999
RCB Angle Error: -67.834999
RCB Angle Error: -67.734001
RCB Angle Error: -67.599998
RCB Angle Error: -67.424004
RCB Angle Error: -67.267998
RCB Angle Error: -67.136002
RCB Angle Error: -67.054001
RCB Angle Error: -66.958000
RCB Angle Error: -66.813004
RCB Angle Error: -66.642998
RCB Angle Error: -66.446999
RCB Angle Error: -66.310997
RCB Angle Error: -66.153999
RCB Angle Error: -65.992996
RCB Angle Error: -65.862000
RCB Angle Error: -65.724998
RCB Angle Error: -65.623001
RCB Angle Error: -65.467003
RCB Angle Error: -65.275002
RCB Angle Error: -65.106003
RCB Angle Error: -64.952003
RCB Angle Error: -64.862000
RCB Angle Error: -64.748001
RCB Angle Error: -64.599998
RCB Angle Error: -64.435997
RCB Angle Error: -64.247002
RCB Angle Error: -64.127998
RCB Angle Error: -64.009003
RCB Angle Error: -63.900002
RCB Angle Error: -63.780998
RCB Angle Error: -63.604000
RCB Angle Error: -63.452000
RCB Angle Error: -63.271000
RCB Angle Error: -63.091000
RCB Angle Error: -62.953999
RCB Angle Error: -62.813999
RCB Angle Error: -62.709999
RCB Angle Error: -62.566002
RCB Angle Error: -62.393002
RCB Angle Error: -62.237000
RCB Angle Error: -62.077000
RCB Angle Error: -61.979000
RCB Angle Error: -61.855000
RCB Angle Error: -61.707001
RCB Angle Error: -61.569000
RCB Angle Error: -61.416000
RCB Angle Error: -61.300999
RCB Angle Error: -61.166000
RCB Angle Error: -61.032001
RCB Angle Error: -60.917000
RCB Angle Error: -60.797001
RCB Angle Error: -60.667999
RCB Angle Error: -60.515999
RCB Angle Error: -60.335999
RCB Angle Error: -60.178001
RCB Angle Error: -60.004002
RCB Angle Error: -59.880001
RCB Angle Error: -59.734001
RCB Angle Error: -59.582001
RCB Angle Error: -59.446999
RCB Angle Error: -59.299000
RCB Angle Error: -59.159000
RCB Angle Error: -59.012001
RCB Angle Error: -58.855999
RCB Angle Error: -58.722000
RCB Angle Error: -58.574001
RCB Angle Error: -58.459000
RCB Angle Error: -58.314999
RCB Angle Error: -58.160000
RCB Angle Error: -58.034000
RCB Angle Error: -57.904999
RCB Angle Error: -57.817001
RCB Angle Error: -57.698002
RCB Angle Error: -57.547001
RCB Angle Error: -57.381001
RCB Angle Error: -57.206001
RCB Angle Error: -57.053001
RCB Angle Error: -56.895000
RCB Angle Error: -56.742001
RCB Angle Error: -56.620998
RCB Angle Error: -56.487000
RCB Angle Error: -56.369999
RCB Angle Error: -56.209000
RCB Angle Error: -56.021999
RCB Angle Error: -55.876999
RCB Angle Error: -55.751999
RCB Angle Error: -55.639999
RCB Angle Error: -55.488998
RCB Angle Error: -55.330002
RCB Angle Error: -55.143002
RCB Angle Error: -55.015999
RCB Angle Error: -54.882000
RCB Angle Error: -54.778999
RCB Angle Error: -54.672001
RCB Angle Error: -54.540001
RCB Angle Error: -54.335999
RCB Angle Error: -54.134998
RCB Angle Error: -53.962002
RCB Angle Error: -53.838001
RCB Angle Error: -53.699001
RCB Angle Error: -53.566002
RCB Angle Error: -53.423000
RCB Angle Error: -53.280998
RCB Angle Error: -53.103001
RCB Angle Error: -52.945000
RCB Angle Error: -52.810001
RCB Angle Error: -52.701000
RCB Angle Error: -52.582001
RCB Angle Error: -52.458000
RCB Angle Error: -52.311001
RCB Angle Error: -52.154999
RCB Angle Error: -51.959999
RCB Angle Error: -51.827000
RCB Angle Error: -51.728001
RCB Angle Error: -51.659000
RCB Angle Error: -51.537998
RCB Angle Error: -51.376999
RCB Angle Error: -51.181000
RCB Angle Error: -51.013000
RCB Angle Error: -50.840000
RCB Angle Error: -50.726002
RCB Angle Error: -50.612999
RCB Angle Error: -50.500000
RCB Angle Error: -50.331001
RCB Angle Error: -50.153000
RCB Angle Error: -49.986000
RCB Angle Error: -49.854000
RCB Angle Error: -49.733002
RCB Angle Error: -49.625999
RCB Angle Error: -49.506001
RCB Angle Error: -49.370998
RCB Angle Error: -49.181999
RCB Angle Error: -49.014000
RCB Angle Error: -48.862000
RCB Angle Error: -48.785999
RCB Angle Error: -48.692001
RCB Angle Error: -48.577000
RCB Angle Error: -48.412998
RCB Angle Error: -48.249001
RCB Angle Error: -48.070000
RCB Angle Error: -47.904999
RCB Angle Error: -47.764000
RCB Angle Error: -47.630001
RCB Angle Error: -47.469002
RCB Angle Error: -47.293999
RCB Angle Error: -47.148998
RCB Angle Error: -47.027000
RCB Angle Error: -46.882000
RCB Angle Error: -46.723999
RCB Angle Error: -46.574001
RCB Angle Error: -46.445999
RCB Angle Error: -46.311001
RCB Angle Error: -46.150002
RCB Angle Error: -45.992001
RCB Angle Error: -45.842999
RCB Angle Error: -45.705002
RCB Angle Error: -45.570000
RCB Angle Error: -45.452000
RCB Angle Error: -45.321999
RCB Angle Error: -45.165001
RCB Angle Error: -44.978001
RCB Angle Error: -44.806000
RCB Angle Error: -44.659000
RCB Angle Error: -44.512001
RCB Angle Error: -44.370998
RCB Angle Error: -44.245998
RCB Angle Error: -44.124001
RCB Angle Error: -43.943001
RCB Angle Error: -43.771999
RCB Angle Error: -43.618000
RCB Angle Error: -43.495998
RCB Angle Error: -43.367001
RCB Angle Error: -43.250000
RCB Angle Error: -43.118999
RCB Angle Error: -42.951000
RCB Angle Error: -42.820000
RCB Angle Error: -42.661999
RCB Angle Error: -42.537998
RCB Angle Error: -42.426998
RCB Angle Error: -42.285000
RCB Angle Error: -42.161999
RCB Angle Error: -41.971001
RCB Angle Error: -41.794998
RCB Angle Error: -41.639000
RCB Angle Error: -41.519001
RCB Angle Error: -41.395000
RCB Angle Error: -41.243999
RCB Angle Error: -41.096001
RCB Angle Error: -40.917999
RCB Angle Error: -40.791000
RCB Angle Error: -40.634998
RCB Angle Error: -40.478001
RCB Angle Error: -40.341999
RCB Angle Error: -40.200001
RCB Angle Error: -40.087002
RCB Angle Error: -39.919998
RCB Angle Error: -39.763000
RCB Angle Error: -39.612000
RCB Angle Error: -39.476002
RCB Angle Error: -39.393002
RCB Angle Error: -39.273998
RCB Angle Error: -39.137001
RCB Angle Error: -38.966999
RCB Angle Error: -38.765999
RCB Angle Error: -38.625000
RCB Angle Error: -38.457001
RCB Angle Error: -38.321999
RCB Angle Error: -38.188999
RCB Angle Error: -38.023998
RCB Angle Error: -37.893002
RCB Angle Error: -37.731998
RCB Angle Error: -37.564999
RCB Angle Error: -37.426998
RCB Angle Error: -37.286999
RCB Angle Error: -37.181000
RCB Angle Error: -37.034000
RCB Angle Error: -36.848000
RCB Angle Error: -36.667999
RCB Angle Error: -36.497002
RCB Angle Error: -36.401001
RCB Angle Error: -36.280998
RCB Angle Error: -36.132999
RCB Angle Error: -35.958000
RCB Angle Error: -35.750000
RCB Angle Error: -35.615002
RCB Angle Error: -35.460999
RCB Angle Error: -35.304001
RCB Angle Error: -35.158001
RCB Angle Error: -34.992001
RCB Angle Error: -34.868999
RCB Angle Error: -34.730999
RCB Angle Error: -34.570999
RCB Angle Error: -34.421001
RCB Angle Error: -34.252998
RCB Angle Error: -34.134998
RCB Angle Error: -33.995998
RCB Angle Error: -33.842999
